Gene	Status
PPP1R13B	non_indicated
MON2	non_indicated
PPP1R13L	non_indicated
EEF2	non_indicated
C2orf28	non_indicated
C2orf24	non_indicated
FAM168B	non_indicated
PYCR1	non_indicated
15-Sep	non_indicated
CTBS	non_indicated
COX6A1	non_indicated
GNG10	non_indicated
GNG11	non_indicated
GNG12	non_indicated
FLVCR2	non_indicated
URB1	non_indicated
IFITM3	non_indicated
IFITM2	non_indicated
IFITM1	non_indicated
HPCAL1	non_indicated
LIPG	non_indicated
DFFA	non_indicated
DFFB	non_indicated
SEC24D	non_indicated
REV3L	non_indicated
SEC24A	non_indicated
SEC24C	non_indicated
SEC24B	non_indicated
RNF19B	non_indicated
RNF19A	non_indicated
OGDHL	non_indicated
PYCRL	non_indicated
KAL1	non_indicated
IPP	non_indicated
MRPL40	non_indicated
MRPL46	non_indicated
